Lan;Fodda;Antal
01 Stockholms lan;Utrikes fodd;624609
03 Uppsala lan;Utrikes fodd;73482
04 Sodermanlands lan;Utrikes fodd;61443
05 ostergotlands lan;Utrikes fodd;78221
06 Jonkopings lan;Utrikes fodd;67504
07 Kronobergs lan;Utrikes fodd;41720
08 Kalmar lan;Utrikes fodd;35782
09 Gotlands lan;Utrikes fodd;4837
10 Blekinge lan;Utrikes fodd;24219
12 Skane lan;Utrikes fodd;316653
13 Hallands lan;Utrikes fodd;48900
14 Vastra Gotalands lan;Utrikes fodd;341025
17 Varmlands lan;Utrikes fodd;38815
18 Orebro lan;Utrikes fodd;51929
19 Vastmanlands lan;Utrikes fodd;59237
20 Dalarnas lan;Utrikes fodd;37557
21 Gavleborgs lan;Utrikes fodd;39774
22 Vasternorrlands lan;Utrikes fodd;27691
23 Jamtlands lan;Utrikes fodd;13488
24 Vasterbottens lan;Utrikes fodd;30100
25 Norrbottens lan;Utrikes fodd;29745
