Lan;Antal
01 Stockholms lan;28466
03 Uppsala lan;4142
04 Sodermanlands lan;3013
05 ostergotlands lan;4855
06 Jonkopings lan;4162
07 Kronobergs lan;2349
08 Kalmar lan;2501
09 Gotlands lan;467
10 Blekinge lan;1491
12 Skane lan;15460
13 Hallands lan;3432
14 Vastra Gotalands lan;19337
17 Varmlands lan;2720
18 orebro lan;3267
19 Vastmanlands lan;2955
20 Dalarnas lan;2893
21 Gavleborgs lan;2762
22 Vasternorrlands lan;2275
23 Jamtlands lan;1274
24 Vasterbottens lan;2936
25 Norrbottens lan;2320
