Lan;Medelinkomst
01 Stockholms län;357,5
03 Uppsala län;303,6
04 Södermanlands län;284,2
05 Östergötlands län;289,2
06 Jönköpings län;291,1
07 Kronobergs län;283,5
08 Kalmar län;278,9
09 Gotlands län;269,7
10 Blekinge län;281,7
12 Skåne län;286,2
13 Hallands län;308,7
14 Västra Götalands län;304,6
17 Värmlands län;275,6
18 Örebro län;283,9
19 Västmanlands län;293,4
20 Dalarnas län;282,8
21 Gävleborgs län;281,5
22 Västernorrlands län;290,6
23 Jämtlands län;277,8
24 Västerbottens län;287,9
25 Norrbottens län;299,1
